date,USDEUR,CHFGBP,RUBUSD,PLNUSD,investor_id,USDGBP
25/08/2008,,,24.47,,2,1.8493
25/09/2008,,,25.02,,2,1.8401
25/10/2008,,,27.19,,2,1.5923
25/11/2008,,,27.27,,2,1.542
25/12/2008,,,27.83,,2,1.475
31/12/2008,,,30.53,,2,1.4647
25/01/2009,,,32.78,,2,1.3971
25/02/2009,,,35.69,,2,1.421
25/03/2009,,,33.53,,2,1.4553
31/03/2009,,,33.28,,2,1.4632
25/04/2009,,,33.04,,2,1.4711
25/05/2009,,,30.9,,2,1.5906
08/06/2009,,,31.41,,2,1.6037
25/06/2009,,,31.21,,2,1.6368
30/06/2009,,,31.09,,2,1.6404
25/07/2009,,,30.98,,2,1.644
25/08/2009,,,32.4,,2,1.6312
25/09/2009,,,30.12,,2,1.5972
30/09/2009,,,29.52,,2,1.612
25/10/2009,,,28.92,,2,1.6268
25/11/2009,,,28.77,,2,1.6703
25/12/2009,,,29.56,,2,1.6014
31/12/2009,,,30,,2,1.6171
25/01/2010,,,30.1,,2,1.6245
09/02/2010,,,30.33,,2,1.569
15/02/2010,,,30.22,,2,1.5665
25/02/2010,,,30,,2,1.5239
03/03/2010,,,29.76,,2,1.5098
10/03/2010,,,29.59,,2,1.4966
25/03/2010,,,29.52,,2,1.4845
31/03/2010,,,29.27,,2,1.5108
12/04/2010,,,29.01,,2,1.5371
25/04/2010,,,29.04,,2,1.5465
10/05/2010,,,30.43,,2,1.4857
25/05/2010,,,31.43,,2,1.4408
04/06/2010,,,31.51,,2,1.4445
10/06/2010,,,31.56,,2,1.4706
21/06/2010,,,30.82,,2,1.4755
25/06/2010,,,30.98,,2,1.5064
30/06/2010,,,30.92,,2,1.5052
09/07/2010,,,30.87,,2,1.504
25/07/2010,,,30.27,,2,1.5487
10/08/2010,,,30.01,,2,1.5855
25/08/2010,,,30.95,,2,1.5469
03/09/2010,,1.5723,30.6,3.0483,2,1.546
04/09/2010,,1.5723,30.6,3.0483,2,1.546
10/09/2010,,,30.86,,2,1.5353
25/09/2010,,,30.51,,2,1.5807
30/09/2010,,,30.17,,2,1.588
08/10/2010,,,29.82,,2,1.5953
25/10/2010,,,30.27,,2,1.5707
10/11/2010,,,30.71,,2,1.6118
25/11/2010,,,31.14,,2,1.5756
10/12/2010,,,30.93,,2,1.5771
25/12/2010,,,30.35,,2,1.5438
31/12/2010,,1.4575,30.557,,2,1.5606
10/01/2011,,,30.43,,2,1.5586
25/01/2011,,,29.7,,2,1.5814
10/02/2011,,,29.31,,2,1.6093
25/02/2011,,,28.93,,2,1.6114
09/03/2011,,,28.36,,2,1.6197
24/03/2011,,,28.32,,2,1.6118
25/03/2011,,,28.29,,2,1.6041
31/03/2011,,,28.15,,2,1.6211
08/04/2011,,,28.02,,2,1.6381
25/04/2011,,,27.84,,2,1.65
10/05/2011,,,27.74,,2,1.6367
11/05/2011,,,27.69,,2,1.6364
16/05/2011,,,28.12,,2,1.6207
25/05/2011,,,28.35,,2,1.6276
10/06/2011,,,27.83,,2,1.6223
16/06/2011,,,28.17,,2,1.6157
25/06/2011,,,27.55,,2,1.5958
30/06/2011,,,27.76,,2,1.6008
08/07/2011,,,27.97,,2,1.6057
25/07/2011,,,27.68,,2,1.6277
10/08/2011,,,29.68,,2,1.6116
25/08/2011,,,28.89,,2,1.6279
09/09/2011,,,29.99,,2,1.5878
25/09/2011,,,31.94,,2,1.5492
30/09/2011,,,31.74,,2,1.5574
10/10/2011,,,31.55,,2,1.5655
25/10/2011,,,30.47,,2,1.5995
10/11/2011,,,30.53,,2,1.5935
25/11/2011,,,31.48,,2,1.5437
09/12/2011,,,31.42,,2,1.5667
25/12/2011,,,30.93,,2,1.5593
31/12/2011,,1.4559,31.9987,,2,1.5521
10/01/2012,,,31.55,,2,1.5479
25/01/2012,,,30.45,,2,1.5657
25/02/2012,,,29.17,,2,1.5872
25/03/2012,,,29.27,,2,1.5874
31/03/2012,,,29.29,,2,1.6018
25/04/2012,,,29.31,,2,1.6162
